"","Park Code","Park Name","State","Acres","Latitude","Longitude","address","activities"
"47","SAGU","Saguaro National Park","AZ",91440,32.25,-110.5,"3693 S Old Spanish Trail   Tucson AZ, 85730","Arts and Culture, Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Guided Tours, Hiking, Backcountry Hiking, Front-Country Hiking, Junior Ranger Program, Park Film"
"48","SEKI","Sequoia and Kings Canyon National Parks","CA",865952,36.43,-118.68,"47050 Generals Highway   Three Rivers CA, 93271","Auto and ATV, Scenic Driving, Astronomy, Stargazing, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Caving, Climbing, Rock Climbing, Fishing, Freshwater Fishing, Fly Fishing, Food, Dining, Picnicking, Guided Tours, Hands-On, Citizen Science, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
"49","SHEN","Shenandoah National Park","VA",199045,38.53,-78.35,"Shenandoah National Park  3655 U.S. Highway 211 East Luray VA, 22835","Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Climbing, Rock Climbing, Compass and GPS, Geocaching, Fishing, Food, Dining, Picnicking, Hands-On, Citizen Science, Hiking, Horse Trekking, Horseback Riding, Hunting and Gathering, Gathering and Foraging, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
"50","THRO","Theodore Roosevelt National Park","ND",70447,46.97,-103.45,"315 Second Avenue   Medora ND, 58645","Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Horse Trekking, Horse Camping (see also camping), Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
"51","VOYA","Voyageurs National Park","MN",218200,48.5,-92.88,"Voyageurs National Park Headquarters  360 Hwy 11 East International Falls MN, 56649","Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Biking, Boating, Motorized Boating, Sailing, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Group Camping, RV Camping, Fishing, Freshwater Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Boat Tour, Hiking, Backcountry Hiking, Front-Country Hiking, Living History, Reenactments, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Tubing, Snow Tubing, Skiing, Cross-Country Skiing, Snowmobiling, Snowshoeing, Swimming, Freshwater Swimming, Water Skiing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
"52","WICA","Wind Cave National Park","SD",28295,43.57,-103.48,"26611 US Highway 385   Hot Springs SD, 57747","Auto and ATV, Scenic Driving, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Caving, Food, Picnicking, Guided Tours, Self-Guided Tours - Auto, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
"53","WRST","Wrangell - St Elias National Park and Preserve","AK",8323148,61,-142,"Wrangell-St. Elias National Park & Preserve  Mile 106.8 Richardson Highway Copper Center AK, 99573","Arts and Culture, Auto and ATV, ATV Off-Roading, Auto Off-Roading, Scenic Driving, Biking, Mountain Biking, Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, RV Camping, Canyoneering, Climbing, Mountain Climbing, Fishing, Freshwater Fishing, Fly Fishing, Saltwater Fishing, Food, Dining, Picnicking, Flying, Fixed Wing Flying, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Backcountry Hiking, Front-Country Hiking, Hunting and Gathering, Gathering and Foraging, Hunting, Paddling, Whitewater Rafting, Junior Ranger Program, Snowmobiling, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
"54","YELL","Yellowstone National Park","WY, MT, ID",2219791,44.6,-110.5,"2 Officers Row  Yellowstone National Park Headquarters Yellowstone National Park WY, 82190","Arts and Culture, Auto and ATV, Scenic Driving, Astronomy, Biking, Mountain Biking, Road Biking, Boating, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Fishing, Freshwater Fishing, Fly Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Bus/Shuttle Guided Tour, Boat Tour, Hands-On, Arts and Crafts, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowmobiling, Snowshoeing, Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
"55","YOSE","Yosemite National Park","CA",761266,37.83,-119.5,"9039 Village Drive   Yosemite CA, 95389","Arts and Culture, Auto and ATV, Scenic Driving, Astronomy, Biking, Boating, Camping, Backcountry Camping, Climbing, Fishing, Food, Guided Tours, Hands-On, Hiking, Backcountry Hiking, Horse Trekking, Horseback Riding, Ice Skating, Living History, Paddling, Junior Ranger Program, Tubing, Snow Tubing, Skiing, Snow Play, Snowshoeing, Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
"56","ZION","Zion National Park","UT",146598,37.3,-113.05,"Zion National Park  1 Zion Park Blvd. Springdale UT, 84767","Arts and Culture, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Canyoneering, Climbing, Rock Climbing, Guided Tours, Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
